epoch,accuracy,loss,val_accuracy,val_loss
0,0.7422440052032471,0.3337639570236206,0.793335497379303,0.3170676827430725
1,0.7762892246246338,0.32032978534698486,0.7918362021446228,0.3154805600643158
2,0.7771132588386536,0.3185260593891144,0.790829598903656,0.31443947553634644
3,0.7753517627716064,0.3175044357776642,0.7879934310913086,0.3139437735080719
4,0.7735973596572876,0.3169102072715759,0.7856919765472412,0.3136586844921112
5,0.7725511789321899,0.3165237605571747,0.7885937094688416,0.31359347701072693
6,0.7711594700813293,0.31625863909721375,0.7834718227386475,0.31360191106796265
7,0.7702285647392273,0.3160724937915802,0.7793512344360352,0.3134802281856537
8,0.7699168920516968,0.3159019947052002,0.7795085310935974,0.3134198784828186
9,0.7688906788825989,0.3157871663570404,0.7779855728149414,0.3133552074432373
10,0.7675734758377075,0.31568342447280884,0.7818021178245544,0.31328582763671875
11,0.7671970725059509,0.3156064450740814,0.782389223575592,0.31330183148384094
12,0.7663463354110718,0.3155195713043213,0.7819161415100098,0.31330838799476624
13,0.766129732131958,0.31545791029930115,0.7821952700614929,0.3132767677307129
14,0.7655412554740906,0.3153989911079407,0.7798794507980347,0.3132913112640381
15,0.76494300365448,0.31535130739212036,0.7789266109466553,0.3131345510482788
16,0.763311505317688,0.3153052031993866,0.7806645035743713,0.31329527497291565
17,0.762799859046936,0.3152380585670471,0.7765989303588867,0.31318339705467224
18,0.7622042298316956,0.31520846486091614,0.775431215763092,0.31343942880630493
19,0.7617230415344238,0.315145879983902,0.7765701413154602,0.3135058879852295
20,0.7607482671737671,0.31511250138282776,0.7774443030357361,0.3134026825428009
21,0.759319543838501,0.31507885456085205,0.7746565937995911,0.3134852945804596
22,0.7568215727806091,0.3150453269481659,0.7733040452003479,0.3135618567466736
23,0.7569966316223145,0.3150146007537842,0.7749856114387512,0.3136736750602722
24,0.7567381858825684,0.31498807668685913,0.7711140513420105,0.3134790062904358
25,0.7557209730148315,0.3149527311325073,0.7753158807754517,0.31360533833503723
26,0.7558090090751648,0.3149258494377136,0.7743748426437378,0.3136780858039856
27,0.7544909715652466,0.31489482522010803,0.7750852108001709,0.31367772817611694
28,0.7548405528068542,0.31487739086151123,0.7753748297691345,0.31376913189888
29,0.7539510130882263,0.3148553669452667,0.774142861366272,0.3136880695819855
30,0.7538756728172302,0.31484708189964294,0.7745282053947449,0.3137948513031006
31,0.7538859844207764,0.3148232102394104,0.7751612067222595,0.3137147128582001
32,0.7535335421562195,0.3148086667060852,0.7776959538459778,0.3138384521007538
33,0.7536603212356567,0.3147923946380615,0.7816867828369141,0.31385090947151184
34,0.754858136177063,0.3147695064544678,0.7731651663780212,0.31376713514328003
35,0.7541989684104919,0.31475546956062317,0.7748034000396729,0.31391987204551697
36,0.7540131211280823,0.3147401511669159,0.7790078520774841,0.31404608488082886
37,0.7539823651313782,0.3147242069244385,0.7753538489341736,0.31394776701927185
38,0.753642737865448,0.31472980976104736,0.7761507034301758,0.3140093684196472
39,0.7549766898155212,0.3147220015525818,0.7828296422958374,0.31395837664604187
40,0.7548377513885498,0.3146883249282837,0.7778767943382263,0.313972532749176
41,0.7538851499557495,0.31468647718429565,0.7792162299156189,0.31399109959602356
42,0.7550772428512573,0.3146836757659912,0.7826513648033142,0.314083993434906
43,0.7556456327438354,0.31466445326805115,0.7788427472114563,0.3141607642173767
44,0.7558555603027344,0.31465476751327515,0.7834337949752808,0.31399306654930115
45,0.7539915442466736,0.31465214490890503,0.776862382888794,0.31405094265937805
46,0.7536556720733643,0.3146216869354248,0.7837510108947754,0.31414300203323364
47,0.7543722987174988,0.3146381974220276,0.7806028723716736,0.3141571879386902
48,0.7536953091621399,0.3146078586578369,0.7813355326652527,0.3141816258430481
49,0.7534795999526978,0.31459715962409973,0.7813552021980286,0.31412702798843384
50,0.7537151575088501,0.31459519267082214,0.7795530557632446,0.31408166885375977
51,0.7533016204833984,0.3145850598812103,0.7834941148757935,0.31420671939849854
52,0.7537387609481812,0.31459182500839233,0.7807365655899048,0.31436869502067566
53,0.7539954781532288,0.31457120180130005,0.7805452346801758,0.31430405378341675
54,0.7543414235115051,0.3145764172077179,0.7809357643127441,0.314235121011734
55,0.7537693977355957,0.3145572543144226,0.7801520228385925,0.3142825961112976
56,0.7537569999694824,0.31454941630363464,0.7795282006263733,0.3142654001712799
57,0.7539038062095642,0.3145439028739929,0.7761219143867493,0.3144958019256592
58,0.7539013028144836,0.3145248293876648,0.7807326316833496,0.3144153952598572
59,0.7538856863975525,0.3145312964916229,0.7790340781211853,0.3146120607852936
60,0.7533729076385498,0.3145226538181305,0.7800235748291016,0.31447455286979675
61,0.7535147070884705,0.31451207399368286,0.7760118246078491,0.31424206495285034
62,0.7526492476463318,0.3145027458667755,0.7757759094238281,0.3144288659095764
63,0.7531901001930237,0.3145221471786499,0.7784980535507202,0.3147038519382477
64,0.7530242204666138,0.3145032525062561,0.780011773109436,0.31469106674194336
65,0.7526569962501526,0.3144858181476593,0.7777103781700134,0.31457576155662537
66,0.7532985210418701,0.3144972026348114,0.7792949080467224,0.31448689103126526
67,0.7532176375389099,0.3144949674606323,0.7780275344848633,0.31470271944999695
68,0.7524026036262512,0.31450143456459045,0.7750170230865479,0.3146965801715851
69,0.7525162100791931,0.31448838114738464,0.7787038087844849,0.31466904282569885
70,0.7525686621665955,0.31446030735969543,0.7783774733543396,0.314827561378479
71,0.7527950406074524,0.31445929408073425,0.7776055335998535,0.31472867727279663
72,0.7522277235984802,0.31445232033729553,0.77367103099823,0.31477952003479004
73,0.7516409754753113,0.3144628703594208,0.7754744291305542,0.31492817401885986
74,0.7520617842674255,0.3144586384296417,0.7771376371383667,0.3148007392883301
75,0.7523629665374756,0.31443414092063904,0.7778558135032654,0.31484276056289673
76,0.7519763708114624,0.3144364655017853,0.7758689522743225,0.3148297369480133
77,0.7521330714225769,0.31443798542022705,0.7745740413665771,0.3147537410259247
78,0.7515864372253418,0.31444093585014343,0.7765963077545166,0.3148099482059479
79,0.7520387768745422,0.31443431973457336,0.7756041884422302,0.31486475467681885
80,0.7523412704467773,0.31444358825683594,0.7753394246101379,0.3149251639842987
81,0.7511503100395203,0.31442996859550476,0.7753211259841919,0.31499993801116943
82,0.7511998414993286,0.31441530585289,0.7762961983680725,0.314813494682312
83,0.7509903907775879,0.3144262731075287,0.7764508724212646,0.31487590074539185
84,0.7511069774627686,0.31441888213157654,0.773435115814209,0.3148505389690399
85,0.7510138750076294,0.3144071102142334,0.7762044668197632,0.31500566005706787
